City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,24.99,78,40,5.14,CC,1694912881
1,nova sintra,14.8667,-24.7167,23.23,77,14,3.07,CV,1694912881
2,mayya,61.7333,130.2811,3.62,63,100,5.11,RU,1694912882
3,hawaiian paradise park,19.5933,-154.9731,28.91,70,20,4.12,US,1694912883
4,edinburgh of the seven seas,-37.0676,-12.3116,12.64,80,100,13.09,SH,1694912744
5,waitangi,-43.9535,-176.5597,14.34,83,100,4.47,NZ,1694912747
6,stanley,54.868,-1.6985,12.38,92,75,2.06,GB,1694912884
7,itoman,26.1247,127.6694,31.01,77,75,5.66,JP,1694912885
8,karratha,-20.7377,116.8463,28.26,29,53,3.52,AU,1694912887
9,utrik,11.2278,169.8474,28.68,80,88,8.01,MH,1694912887
10,maceio,-9.6658,-35.7353,24.69,88,40,2.06,BR,1694912756
11,bredasdorp,-34.5322,20.0403,10.77,68,100,5.28,ZA,1694912754
12,saipan,15.1355,145.701,29.39,84,40,5.14,MP,1694912889
13,qamdo,31.1667,97.2333,5.65,80,100,1.01,CN,1694912720
14,adamstown,-25.066,-130.1015,18.86,74,100,9.14,PN,1694912890
15,pontianak,-0.0333,109.3333,26.99,88,40,1.03,ID,1694912890
16,porto franco,-6.3383,-47.3992,29.59,37,35,1.38,BR,1694912891
17,belyy yar,53.6039,91.3903,8.94,93,0,1.0,RU,1694912892
18,grytviken,-54.2811,-36.5092,-0.11,95,100,5.57,GS,1694912892
19,port-aux-francais,-49.35,70.2167,5.7,96,100,15.29,TF,1694912893
20,saldanha,-33.0117,17.9442,12.49,65,100,5.43,ZA,1694912893
21,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,42,20,8.0,RU,1694912894
22,blackmans bay,-43.0167,147.3167,13.18,53,2,7.44,AU,1694912894
23,olonkinbyen,70.9221,-8.7187,2.35,71,14,3.82,SJ,1694912895
24,iskateley,67.6803,53.1512,2.21,86,23,1.12,RU,1694912895
25,puerto natales,-51.7236,-72.4875,-0.25,88,27,0.46,CL,1694912896
26,ust'-kulom,61.6864,53.6902,9.23,99,98,2.48,RU,1694912897
27,hermanus,-34.4187,19.2345,12.11,68,100,5.38,ZA,1694912746
28,tura,25.5198,90.2201,25.96,87,39,0.91,IN,1694912898
29,pemangkat,1.1667,108.9667,26.92,82,98,1.86,ID,1694912898
30,colonia,50.9333,6.95,20.53,85,20,3.09,DE,1694912828
31,baissa,7.2333,10.6333,22.11,99,81,0.88,NG,1694912899
32,ushuaia,-54.8,-68.3,-3.11,97,84,1.16,AR,1694912900
33,yellowknife,62.456,-114.3525,19.29,67,40,4.63,CA,1694912610
34,saint george's,12.0564,-61.7485,27.64,73,6,4.19,GD,1694912901
35,longyearbyen,78.2186,15.6401,-2.09,74,75,2.06,SJ,1694912752
36,kone,-21.0595,164.8658,24.2,67,83,3.39,NC,1694912902
37,katsuren-haebaru,26.3369,127.8719,31.01,86,75,5.14,JP,1694912903
38,paradip garh,20.3167,86.6167,27.0,86,53,2.51,IN,1694912903
39,mount pearl,47.5166,-52.7813,19.29,97,100,6.17,CA,1694912904
40,namibe,-15.1961,12.1522,17.6,95,46,2.34,AO,1694912904
